,dt,channel,username,message,neg,neu,pos,compound
1695,2021-05-01 18:53:50,doublelift,rajanda,Tactical having a fun game KEKL,0.0,0.602,0.398,0.5106
1696,2021-05-01 18:53:51,doublelift,armtunaham,HE HIT DA HOOK,0.0,1.0,0.0,0.0
1697,2021-05-01 18:53:51,doublelift,rhyvox_,riven pogggggggg,0.0,1.0,0.0,0.0
1698,2021-05-01 18:53:51,doublelift,sh1neheilig,VisLaud,0.0,1.0,0.0,0.0
1699,2021-05-01 18:53:52,doublelift,19pezen90,2/20,0.0,1.0,0.0,0.0
1700,2021-05-01 18:53:55,doublelift,genmacatk,focused the wrong carry LUL,0.356,0.345,0.299,-0.128
1701,2021-05-01 18:53:56,doublelift,cr1s2,Hook has entered the chat room.,0.0,1.0,0.0,0.0
1702,2021-05-01 18:53:56,doublelift,avatar_125,adcs have lost of fun this game huh,0.198,0.517,0.284,0.25
1703,2021-05-01 18:53:57,doublelift,asken_0,game winning hook,0.0,0.37,0.63,0.5267
1704,2021-05-01 18:53:59,doublelift,ambrosiann,DOUBLE BLITZ Pog,0.0,0.5,0.5,0.25
1705,2021-05-01 18:54:09,doublelift,rudytc,is Sej top a thing?,0.0,0.69,0.31,0.2023
1706,2021-05-01 18:54:10,doublelift,medaz,and he hooks when it matters,0.0,0.82,0.18,0.0258
1707,2021-05-01 18:54:10,doublelift,yuyuyuna,@IStoleTheirBacon I respect it happythoThumbUp,0.0,0.563,0.437,0.4767
1708,2021-05-01 18:54:11,doublelift,jirbinator,"1/5/5 vs 1/6/2, pretty classic adc gameplay here",0.0,0.686,0.314,0.4939
1709,2021-05-01 18:54:15,doublelift,razzakksa,Riven poppin off,0.0,1.0,0.0,0.0
1710,2021-05-01 18:54:15,doublelift,markoramz,@Doublelift do you even single lift?,0.0,1.0,0.0,0.0
1711,2021-05-01 18:54:16,doublelift,adaptmfer,4Head just hit Q,0.0,1.0,0.0,0.0
1712,2021-05-01 18:54:19,doublelift,mystermato,DL unlocked ability ... hook,0.0,0.635,0.365,0.3182
1713,2021-05-01 18:54:26,doublelift,pvt_davids,Sad News btw - KekW comedian died this Week - R.I.P KEKW,0.366,0.492,0.142,-0.6249
1714,2021-05-01 18:54:50,doublelift,aldrij,isn't maxing w better than e?,0.325,0.675,0.0,-0.3412
1715,2021-05-01 18:54:50,doublelift,rbdz,yeah I called it maybe the key is to never predict,0.0,0.82,0.18,0.296
1716,2021-05-01 18:54:59,doublelift,hd_jank,KEKW,0.0,1.0,0.0,0.0
1717,2021-05-01 18:55:03,doublelift,8766asteroid,KEKW,0.0,1.0,0.0,0.0
1718,2021-05-01 18:55:05,doublelift,yeebruh,threw,0.0,1.0,0.0,0.0
1719,2021-05-01 18:55:06,doublelift,adaptmfer,PauseChamp,0.0,1.0,0.0,0.0
1720,2021-05-01 18:55:08,doublelift,yuyuyuna,KEKW,0.0,1.0,0.0,0.0
1721,2021-05-01 18:55:09,doublelift,eravios,KEKW,0.0,1.0,0.0,0.0
1722,2021-05-01 18:55:09,doublelift,nightbot,Check Doublelift's Socials! Youtube: youtube.com/c/Doublelift Twitter: twitter.com/Doublelift1 Instagram: instagram.com/yiliangpeng,0.0,1.0,0.0,0.0
1723,2021-05-01 18:55:10,doublelift,barracuda767,the one time he hits it lose drag,0.434,0.566,0.0,-0.5574
1724,2021-05-01 18:55:12,doublelift,anatolianstream,Smoge,0.0,1.0,0.0,0.0
1725,2021-05-01 18:55:12,doublelift,rajanda,RIP KEKW,0.0,1.0,0.0,0.0
1726,2021-05-01 18:55:16,doublelift,infintt,EZ Clap,0.0,0.236,0.764,0.4995
