dt,channel,username,message
2021-04-27 18:31:23,loltyler1,elpachow,BigBrother  @loltyler1  MY FUCKIN MAN BigBrother
2021-04-27 18:31:23,loltyler1,jeulian1,ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY ITS FANBOY TUESDAY
2021-04-27 18:31:24,loltyler1,solved_puzzled,Baron Pepega Clap Baron Pepega Clap Baron Pepega Clap Baron Pepega Clap Baron Pepega Clap
2021-04-27 18:31:24,loltyler1,jayma2,heraCringe heraYoutube tyler1O LUL
2021-04-27 18:31:24,loltyler1,sad_filipino,BOOBY2
2021-04-27 18:31:24,loltyler1,dorothy1929,LUL
2021-04-27 18:31:25,loltyler1,thequakin,Tarazand still@is toxic pos
2021-04-27 18:31:26,loltyler1,arcticdrizzy,Pepega
2021-04-27 18:31:26,loltyler1,scores__,yo have u guys noticed tarzaned is half asleep
2021-04-27 18:31:26,loltyler1,kangdindumuffin,tyler1Monk tyler1Monk tyler1Monk  tyler1NLT tyler1NLT tyler1NLT tyler1Monk tyler1Monk tyler1Monk
2021-04-27 18:31:26,loltyler1,imrzahedi,LOL
2021-04-27 18:31:27,loltyler1,kaiba5489,bobby is too nice
2021-04-27 18:31:27,loltyler1,freshjava1,BIG BOY BOBBY
2021-04-27 18:31:27,loltyler1,bryat,YALL GOT DRAG THO
2021-04-27 18:31:28,loltyler1,tyzano,tyler1Diff
2021-04-27 18:31:29,loltyler1,drc1oud,BOBBYS TISM IS GOIN OUT OF CONTROL
2021-04-27 18:31:29,loltyler1,julio123nitsh,Pepega
2021-04-27 18:31:29,loltyler1,qeberq,@Pyhrohx no need to be toxic
2021-04-27 18:31:30,loltyler1,noahcane0,"katevolved having a tantrum rn, needs his diaper changed prolly"
2021-04-27 18:31:31,loltyler1,buzzlightyear9988,KEKW
2021-04-27 18:31:32,loltyler1,jayma2,heraCringe
2021-04-27 18:31:33,loltyler1,wertwitc,Anyone else keep picking the unrewarded one? Sadge
2021-04-27 18:31:34,loltyler1,as3cknsolo,KEKW
2021-04-27 18:31:36,loltyler1,sirhandsomejack,KEKW TARDY
2021-04-27 18:31:37,loltyler1,tysonpo,KEKW
2021-04-27 18:31:39,loltyler1,elpachow,KEKW
2021-04-27 18:31:41,loltyler1,raunosaul,KEKW
2021-04-27 18:31:42,loltyler1,fpspsychoyt,fpspsyHey @Wuju_Highland3r
2021-04-27 18:31:42,loltyler1,macaiyla,@TamedTurtles 4Love
2021-04-27 18:31:44,loltyler1,elpachow,LMAO
