id,dt,channel,username,message,neg,neu,pos,compound
112,5/1/2021 15:57,doublelift,totallynotnoodle,"@flooo99ooo, but he is dodging promos to play with miky",0.126,0.63,0.244,0.3612
113,5/1/2021 15:57,doublelift,fritzlarn,i keep spending 700 only to be ghosted feelsbadman,0,1,0,0
114,5/1/2021 15:57,doublelift,kdrama,that anivia decayed 400 lp thats why lol;,0.228,0.526,0.246,0.0516
115,5/1/2021 15:57,doublelift,fzxy,@flooo99ooo rekkles and mikyx are dodging master promos so they can keep fuo,0.104,0.896,0,-0.1027
116,5/1/2021 15:57,doublelift,omg_shadow,catJAM,0,1,0,0
117,5/1/2021 15:57,doublelift,jero6300,1elo,0,1,0,0
118,5/1/2021 15:57,doublelift,sadsadsac,If you dont dodge games like that your prob low rank Sadge,0.408,0.592,0,-0.6381
119,5/1/2021 15:57,doublelift,topdrogon,@fzxy yeah kinda insane and cringe,0.28,0.465,0.256,-0.0534
120,5/1/2021 15:57,doublelift,colonavirus,rekkles1 is diamond1 because he keep dodging his master promos to play duo with mikyx you dogshit iron chat,0.067,0.817,0.115,0.25
121,5/1/2021 15:57,doublelift,cr1s2,"how is Anivia supp not troll? no mobility, doesnt get farm to actually scale.. laning wouldve been horrible",0.164,0.748,0.088,-0.3843
122,5/1/2021 15:57,doublelift,asken_0,dont be toxic Sadge,0,0.633,0.367,0.1877
123,5/1/2021 15:57,doublelift,nsbenzo33ss,high mmr,0,1,0,0
124,5/1/2021 15:57,doublelift,theaveragegoat,@sadsadsac you're** DansGame,0,1,0,0
125,5/1/2021 15:57,doublelift,legionxiix,Kdrama veiWave,0,1,0,0
126,5/1/2021 17:44,doublelift,flooo99ooo,who knows if anivia doesnt dodge as well,0.206,0.794,0,-0.2057
127,5/1/2021 17:47,doublelift,asken_0,that incarnation,0,1,0,0
128,5/1/2021 17:47,doublelift,god_of_sleep_,space eeeeee,0,1,0,0
129,5/1/2021 17:47,doublelift,9lurk,I didnt expect half the chat to ask tho to be fair,0,0.827,0.173,0.3182
130,5/1/2021 17:47,doublelift,theqaz,@RyanYZh fuck uu,0.636,0.364,0,-0.5423
131,5/1/2021 17:47,doublelift :hey man i heard about the incident that happened on tsm hope u feel better man,zoroporo,/,0,1,0,0
132,5/1/2021 17:48,doublelift,mimimihax,Nerdge ACHUALLAY Nerdge,0,1,0,0
133,5/1/2021 17:48,doublelift,9lurk,Yo this morg lol,0,0.517,0.483,0.4215
134,5/1/2021 17:48,doublelift,jhint_,@Illuminataye Got to masters EUW being a dirty jhin one trick then stopped playing so I'm alright,0.272,0.544,0.185,-0.2315
135,5/1/2021 17:48,doublelift,miloticmaster2,@Hagoo its more than 2 years but its ok that people dont know,0,0.811,0.189,0.4215
136,5/1/2021 17:48,doublelift,9lurk,This morg 2 clean,0,0.526,0.474,0.4019
137,5/1/2021 17:48,doublelift,god_of_sleep_,@subotai1 Sir c9 ...,0,1,0,0
138,5/1/2021 17:48,doublelift,gitz0,morg kinda cracked ngl,0,1,0,0
139,5/1/2021 17:48,doublelift,cr1s2,no one wants cannon? modCheck,0.355,0.645,0,-0.296
140,5/1/2021 17:48,doublelift,justinm__,you need to play varus,0,0.625,0.375,0.34
141,5/1/2021 17:48,doublelift,vadidekiot,3rd cannon Smoge,0,1,0,0
142,5/1/2021 17:48,doublelift,illuminataye,@jhint_ true dat,0,0.417,0.583,0.4215
143,5/1/2021 17:48,doublelift,9lurk,@jhint_ and you dont know how Tristana works? but your Masters EUW,0,1,0,0
144,5/1/2021 17:48,doublelift,tcfive,red buff got cannon I think,0,1,0,0
145,5/1/2021 17:48,doublelift,illuminataye,LUL,0,1,0,0
146,5/1/2021 17:48,doublelift,apes_everywhere,liftGasm,0,1,0,0
147,5/1/2021 17:48,doublelift,9lurk,@jhint_ saying ur a masters adc but you dont know Tristana works just doesnt equal out,0,1,0,0
148,5/1/2021 17:49,doublelift,outsmited_,morgana didnt ignite @Doublelift,0,1,0,0
149,5/1/2021 17:49,doublelift,camaroguy6,Song name plox,0,1,0,0
150,5/1/2021 17:49,doublelift,cr1s2,this game looking like a ff at 15 PauseChamp,0,0.569,0.431,0.6486
151,5/1/2021 17:49,doublelift,duladen,im learning how to morg from this stream lol,0,0.741,0.259,0.4215
152,5/1/2021 17:49,doublelift,vladtheimpaler121,I refuse to use the word cracked,0.268,0.732,0,-0.296
153,5/1/2021 17:49,doublelift,monsieur_gato,poki2,0,1,0,0
154,5/1/2021 17:49,doublelift,zoroporo,AYOOO PAUSE!!!,0,1,0,0
155,5/1/2021 17:49,doublelift,justinm__,obese,0,1,0,0
156,5/1/2021 17:49,doublelift,gorpmeat,@vladtheimpaler121 that's cracked,0,1,0,0
157,5/1/2021 17:49,doublelift,asken_0,dl is as cracked as he is jacked,0,1,0,0
158,5/1/2021 17:49,doublelift,jhint_,"@9lurk believe what you like, no skin off my nose",0.173,0.63,0.197,0.0772
159,5/1/2021 17:49,doublelift,soba_mask,could you play trist with exh?,0,0.676,0.324,0.34
160,5/1/2021 17:49,doublelift,momtheresnopause,@vladtheimpaler121 what about cracker if you see a fucked up white dude?,0.286,0.714,0,-0.6597
161,5/1/2021 17:49,doublelift,illuminataye,!sensitivity,0,1,0,0
162,5/1/2021 17:49,doublelift,justinm__,catJAM,0,1,0,0
163,5/1/2021 17:49,doublelift,munieru62l,How young are the ppl laughing at ppl not knowing how Tris work,0,0.789,0.211,0.4939
164,5/1/2021 17:49,doublelift,illuminataye,!sense,0,1,0,0
165,5/1/2021 17:49,doublelift,zoroporo,hello @Doublelift we need 1 for our clash team could u make it??,0,1,0,0
166,5/1/2021 17:49,doublelift,justinm__,!followage,0,1,0,0
167,5/1/2021 17:50,doublelift,suichkaa,they young af,0,1,0,0
168,5/1/2021 17:50,doublelift,vladtheimpaler121,I say we replace cracked and use slammin,0,1,0,0
